#options: 1440x1062 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=7000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.35 aq:18.20 tex:1117113 mv:204590 misc:329 imb:6030 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:29.60 aq:20.69 tex:31893 mv:5718 misc:3181 imb:110 pmb:891 smb:5029 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:29.60 aq:24.26 tex:141 mv:408 misc:635 imb:1 pmb:235 smb:5794 d:s ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:29.60 aq:27.57 tex:2998 mv:2143 misc:771 imb:9 pmb:162 smb:5859 d:- ref:0 ;
in:10 out:4 type:P dur:2 cpbdur:2 q:29.42 aq:21.14 tex:61861 mv:8643 misc:3688 imb:159 pmb:1356 smb:4515 d:- ref:0 ;
in:6 out:5 type:B dur:2 cpbdur:2 q:29.60 aq:23.45 tex:16023 mv:9418 misc:2359 imb:30 pmb:1128 smb:4872 d:s ref:0 ;
in:4 out:6 type:b dur:2 cpbdur:2 q:29.60 aq:27.25 tex:3836 mv:5248 misc:1836 imb:19 pmb:624 smb:5387 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:29.60 aq:27.54 tex:4502 mv:4998 misc:1820 imb:14 pmb:616 smb:5400 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:29.60 aq:26.93 tex:109 mv:234 misc:705 imb:0 pmb:117 smb:5913 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:29.60 aq:26.50 tex:2999 mv:2247 misc:938 imb:7 pmb:228 smb:5795 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:29.60 aq:28.16 tex:3144 mv:2107 misc:869 imb:4 pmb:204 smb:5822 d:- ref:0 ;
in:15 out:11 type:P dur:2 cpbdur:2 q:29.10 aq:20.93 tex:60497 mv:8441 misc:4190 imb:94 pmb:1586 smb:4350 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:29.42 aq:24.29 tex:8798 mv:4135 misc:1219 imb:11 pmb:426 smb:5593 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:29.42 aq:28.70 tex:2006 mv:3297 misc:1153 imb:3 pmb:359 smb:5668 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:29.42 aq:27.00 tex:24 mv:249 misc:655 imb:0 pmb:103 smb:5927 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:29.42 aq:28.78 tex:1911 mv:1576 misc:737 imb:2 pmb:150 smb:5878 d:- ref:0 ;
in:18 out:16 type:P dur:2 cpbdur:2 q:29.02 aq:21.04 tex:41493 mv:6694 misc:3869 imb:95 pmb:1341 smb:4594 d:- ref:0 ;
in:16 out:17 type:B dur:2 cpbdur:2 q:29.09 aq:27.03 tex:3937 mv:2478 misc:865 imb:8 pmb:249 smb:5773 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:29.09 aq:27.13 tex:2453 mv:1583 misc:852 imb:4 pmb:166 smb:5860 d:- ref:0 ;
in:25 out:19 type:P dur:2 cpbdur:2 q:33.02 aq:27.33 tex:14801 mv:4306 misc:1565 imb:93 pmb:451 smb:5486 d:s ref:0 ;
in:21 out:20 type:B dur:2 cpbdur:2 q:32.99 aq:30.16 tex:3334 mv:2739 misc:983 imb:12 pmb:257 smb:5761 d:s ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:32.97 aq:28.00 tex:16 mv:121 misc:615 imb:0 pmb:90 smb:5940 d:s ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:32.98 aq:33.83 tex:1334 mv:1181 misc:605 imb:6 pmb:110 smb:5914 d:s ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:32.99 aq:33.26 tex:2216 mv:1306 misc:702 imb:6 pmb:141 smb:5883 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:33.00 aq:33.34 tex:2438 mv:1646 misc:708 imb:11 pmb:137 smb:5882 d:- ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:33.01 aq:31.00 tex:15 mv:173 misc:548 imb:1 pmb:62 smb:5967 d:- ref:0 ;
in:31 out:26 type:P dur:2 cpbdur:2 q:29.89 aq:23.79 tex:22266 mv:6219 misc:3003 imb:142 pmb:892 smb:4996 d:s ref:0 ;
